Challenge Stats Technology List;Challenge Stats Challenge Name;Challenge Stats Challenge Copilot;Challenge Stats Posting Date Date;Challenge Stats Project Category Name;Challenge Stats Registration End Date Date;Challenge Stats Scheduled End Date Date;Challenge Stats Status Desc;Challenge Stats Submitby Date Date;Challenge Stats First Place Prize;Challenge Stats Avg Raw Score;Challenge Stats Avg Final Score;Challenge Stats Num Registrations;Challenge Stats Num Submissions;Challenge Stats Num Submissions Passed Review;Challenge Stats Num Valid Submissions;Challenge Stats Total Prize
0;[96hr]Poseidon developer portal Unit and e2e tests;copilot-a;2020-01-05;Code;2020-01-09;2020-01-12;Active;2020-01-09;800,00 US$;0;0;44;0;0;0;1.200,00 US$
0;Clearwater - Page Analysis Tool Update Challenge;Copilot-b;2020-01-03;Code;2020-01-05;2020-01-11;Active;2020-01-08;900,00 US$;0;0;40;0;0;0;1.350,00 US$
Ionic,TypeScript,UI Prototype;Juno - Augmented Reality Application;copilot-c;2020-01-04;Code;2020-01-08;2020-01-12;Active;2020-01-09;1.200,00 US$;0;0;41;0;0;0;1.800,00 US$
0;Poseidon LPC Payment Backend API Unit and E2E Tests;copilot-c;2020-01-03;Code;2020-01-07;2020-01-12;Active;2020-01-08;800,00 US$;0;0;46;0;0;0;1.200,00 US$
Android,Appium,Python,iOS;[72h] PoC - Appium Development VoLTE Test;copilot-c;2020-01-02;Code;2020-01-05;2020-01-09;Active;2020-01-05;800,00 US$;0;0;31;6;6;6;1.200,00 US$
Apache Kafka,Elasticsearch,Node.js;Submission API | Fix Tests;copilot-d;2020-01-01;Code;2020-01-03;2020-01-08;Active;2020-01-04;800,00 US$;0;0;43;4;4;4;1.200,00 US$
Elasticsearch,Node.js,PostgreSQL;Topcoder Project Service - Report ES/DB Data Mismatches - part 1 [repost];copilot-e;2020-01-02;Code;2020-01-07;2020-01-10;Active;2020-01-07;1.200,00 US$;0;0;52;1;1;1;1.800,00 US$
Angular 2+,JavaScript,Node.js;[72hr]Poseidon's developer portal FrontEnd-Backend Integration Part 1;copilot-a;2019-12-29;Code;2020-01-01;2020-01-02;Completed;2020-01-01;600,00 US$;94,47;94,47;59;7;6;7;900,00 US$
HTML,JavaScript,Node.js,Office365,XML;Email ID's Limitation - Outlook Add-in Desktop support & small tweaks;copilot-f;2019-12-28;Code;2020-01-02;2020-01-04;Completed;2020-01-02;600,00 US$;100;100;33;1;1;1;900,00 US$
.NET,C#,QA,Selenium;ABB RCS - Automated testing implementation and report generation - Sprint 3 - Part 2;copilot-f;2019-12-27;Code;2020-01-01;2020-01-04;Cancelled - Client Request;2020-01-01;1.000,00 US$;0;0;22;0;0;0;1.500,00 US$
Angular 4;[96 hrs] Talkscript Designer - Part 1;Copilot-g;2019-12-27;Code;2019-12-31;2020-01-03;Completed;2020-01-01;1.000,00 US$;73,08;84,91;44;2;2;2;1.500,00 US$
Angular 2+,Node.js,PostgreSQL;SIA - Smart Investment Advisor: Node.js admin app;Copilot-m;2019-12-27;Code;2020-01-02;2020-01-05;Completed;2020-01-02;1.400,00 US$;93,5;94,83;49;2;2;2;2.100,00 US$
Angular 4,Node.js,QA,TypeScript;PexComm - Bug Bash;copilot-c;2019-12-26;Code;2020-01-01;2020-01-19;Active;2020-01-15;2.400,00 US$;0;0;49;3;3;3;3.600,00 US$
HTML,JavaScript,Jekyll,SCSS; Poseidon developer portal Jekyll theme;copilot-a;2019-12-26;Code;2019-12-30;2020-01-02;Completed;2019-12-31;1.000,00 US$;79,1;79,9;30;5;3;5;1.500,00 US$
Java,ReactJS;Clearwater - Page Analysis Sonarqube Plugin PoC;Copilot-b;2019-12-26;Code;2019-12-28;2020-01-02;Completed;2019-12-31;1.000,00 US$;97;97;30;1;1;1;1.500,00 US$
Elasticsearch,Node.js,PostgreSQL;Topcoder Project Service - Report ES/DB Data Mismatches - part 1 [repost];copilot-e;2019-12-25;Code;2019-12-30;2020-01-03;Cancelled - Zero Submissions;2019-12-30;1.000,00 US$;0;0;32;0;0;0;1.500,00 US$
Python;Bijli - OCR Challenge;copilot-z;2019-12-24;Code;2020-01-01;2020-01-04;Draft;2020-01-01;2.000,00 US$;0;0;0;0;0;0;3.400,00 US$
Python;Bijli - OCR Challenge;copilot-z;2019-12-24;Code;2020-01-01;2020-01-04;Draft;2020-01-01;2.000,00 US$;0;0;0;0;0;0;3.400,00 US$
Data Science,Python;Bijli - OCR Challenge;copilot-z;2019-12-24;Code;2020-01-01;2020-01-03;Cancelled - Failed Review;2020-01-01;2.000,00 US$;17;32;81;1;0;1;3.400,00 US$
AWS,Node.js,Other;Amazon Alexa Skill | Integrate with API;copilot-d;2019-12-24;Code;2019-12-26;2020-01-03;Completed;2019-12-29;600,00 US$;91,04;91,6;47;5;4;5;900,00 US$
JavaScript,ReactJS;Topcoder Community App: Devices page - UI ReDesign - Repost ;copilot-i;2019-12-22;Code;2019-12-25;2019-12-27;Cancelled - Failed Review;2019-12-25;500,00 US$;77,5;77,5;29;1;0;1;750,00 US$
API,Node.js,TypeScript;[72hr]Poseidon's developer portal Backend API Part 1;copilot-a;2019-12-23;Code;2019-12-26;2019-12-28;Completed;2019-12-27;800,00 US$;96,89;96,89;37;2;2;2;1.200,00 US$
Angular 2+,HTML,JavaScript,SCSS,TypeScript;Poseidon's developer portal UI Prototype Part 1;copilot-a;2019-12-20;Code;2019-12-24;2019-12-28;Completed;2019-12-24;800,00 US$;85,03;87,96;38;5;4;5;1.200,00 US$
HTML,JavaScript,Jekyll,SCSS; Poseidon developer portal Jekyll theme;copilot-a;2019-12-20;Code;2019-12-24;2019-12-27;Cancelled - Failed Review;2019-12-24;800,00 US$;74,08;74,08;29;1;0;1;1.200,00 US$
Angular 2+,TypeScript;Wellmark Benefits CRM- Update Unit Tests;copilot-a;2019-12-21;Code;2019-12-25;2019-12-28;Completed;2019-12-25;800,00 US$;69,4;75,96;35;4;2;4;1.200,00 US$
Angular 2+,HTML5,SCSS;Firefly OSCUR UI Prototype Challenge;copilot-k;2019-12-20;Code;2019-12-22;2019-12-29;Completed;2019-12-27;1.400,00 US$;82;82,44;27;3;2;3;2.100,00 US$
0;[36hr] Wellmark Benefits CRM Mock API Developement;copilot-a;2019-12-20;Code;2019-12-21;2019-12-24;Draft;2019-12-21;400,00 US$;0;0;0;0;0;0;600,00 US$
Angular 4,Node.js,QA,TypeScript;PexComm Bug Hunt;copilot-c;2019-12-20;Code;2019-12-22;2019-12-24;Completed;2019-12-22;600,00 US$;70;70;40;7;7;7;1.020,00 US$
Angular 2+,HTML5,SCSS;Firefly Subpoena UI Prototype;copilot-k;2019-12-20;Code;2019-12-22;2019-12-29;Completed;2019-12-26;1.400,00 US$;86,41;86,41;44;2;2;2;2.100,00 US$
Appium,Mobile,Python,QA;PoC - Appium Development SMS Test;copilot-c;2019-12-20;Code;2019-12-24;2019-12-29;Completed;2019-12-26;800,00 US$;66,96;73,9;38;5;4;5;1.300,00 US$
0;Emerald - Hub Application Prototype Challenge;Copilot-l;2019-12-20;Code;2019-12-25;2019-12-28;Draft;2019-12-25;1.400,00 US$;0;0;0;0;0;0;2.100,00 US$
CSS,JavaScript,Office365,XML;Email ID's Limitation - Outlook Web Add-in Development;copilot-f;2019-12-18;Code;2019-12-23;2019-12-27;Completed;2019-12-23;800,00 US$;60,94;62,72;29;3;1;3;1.200,00 US$
Other;FS Regression cycle 3 - Challenge 10;;2019-12-18;Code;2019-12-20;2019-12-24;Completed;2019-12-20;150,00 US$;99;99;9;1;1;1;150,00 US$
Other;FS Regression cycle 3 - Challenge 9;;2019-12-18;Code;2019-12-20;2019-12-25;Active;2019-12-21;150,00 US$;0;0;4;0;0;0;150,00 US$
Other;FS Regression cycle 3 - Challenge 8;;2019-12-18;Code;2019-12-20;2019-12-25;Active;2019-12-21;150,00 US$;0;0;3;0;0;0;150,00 US$
Other;FS Regression cycle 3 - Challenge 7;;2019-12-18;Code;2019-12-20;2019-12-24;Completed;2019-12-21;150,00 US$;98,11;98,11;3;1;1;1;150,00 US$
Other;FS Regression cycle 3 - Challenge 6;;2019-12-18;Code;2019-12-20;2019-12-24;Completed;2019-12-21;150,00 US$;99;99;3;1;1;1;150,00 US$
Other;FS Regression cycle 3 - Challenge 5;;2019-12-18;Code;2019-12-20;2019-12-24;Completed;2019-12-21;150,00 US$;97;97;6;1;1;1;150,00 US$
Other;FS Regression cycle 3 - Challenge 4;;2019-12-18;Code;2019-12-20;2019-12-24;Completed;2019-12-21;150,00 US$;99;99;12;1;1;1;150,00 US$
HTML5,OCR,Python;SIA - Smart Investment Advisor - OCR proof of concept;Copilot-m;2019-12-18;Code;2019-12-25;2019-12-28;Completed;2019-12-25;850,00 US$;71,36;79,23;34;5;2;5;1.275,00 US$
Angular 2+,Node.js,PostgreSQL;SIA - Smart Investment Advisor: Node.js admin app;Copilot-m;2019-12-18;Code;2019-12-23;2019-12-27;Cancelled - Failed Review;2019-12-23;1.100,00 US$;31,44;31,44;35;2;0;2;1.650,00 US$
Angular 2+,Angular 4;Underwriting UI - Increase Unit Testing coverage;copilot-n;2019-12-17;Code;2019-12-21;2019-12-24;Completed;2019-12-22;800,00 US$;72,47;95,47;30;1;1;1;1.200,00 US$
Angular 2+,Angular 4;Binder Portal UI - Increase Unit Testing coverage;copilot-n;2019-12-17;Code;2019-12-21;2019-12-23;Completed;2019-12-21;800,00 US$;95,86;95,86;28;1;1;1;1.200,00 US$
Angular 2+,Angular 4,Node.js,QA;Employer Portal increase Unit Testing coverage;copilot-n;2019-12-17;Code;2019-12-21;2019-12-24;Completed;2019-12-22;800,00 US$;53,12;53,12;32;3;1;3;1.200,00 US$
AWS,Apache Kafka,Github,Microsoft Azure,Node.js;Redwood - Azure / GitHub Sync Tool Switch receiver to AWS Kinesis;copilot-n;2019-12-17;Code;2019-12-19;2019-12-22;Completed;2019-12-19;400,00 US$;94,91;94,91;15;3;3;3;600,00 US$
Node.js;Mobie Movies API Nodejs Wrapper;copilot-d;2019-12-17;Code;2019-12-19;2019-12-21;Completed;2019-12-19;600,00 US$;92,29;92,29;32;3;3;3;900,00 US$
Android,JavaScript,ReactJS,iOS;Poisedon - LPC payment React Native sdk part 1;copilot-a;2019-12-15;Code;2019-12-19;2019-12-21;Completed;2019-12-19;1.400,00 US$;87,72;94,31;28;1;1;1;2.100,00 US$
Data Science,Python;Hugo  - KPIs ideation challenge;Copilot-m;2020-01-03;Code;2020-01-10;2020-01-13;Active;2020-01-10;2.000,00 US$;0;0;61;0;0;0;3.400,00 US$
QA;Test Scenarios and Test Case Summaries - Dashboard Screen, Header-and-Footer and Logout function;copilot-o;2019-12-23;Code;2019-12-25;2020-01-10;Active;2019-12-27;600,00 US$;0;0;29;11;11;11;900,00 US$
.NET,C#,QA,Selenium;ABB RCS - Automated testing implementation and report generation - Sprint 2 - Part 2;copilot-f;2019-12-14;Code;2019-12-22;2019-12-26;Cancelled - Failed Review;2019-12-22;1.000,00 US$;69;78,5;20;1;0;1;1.500,00 US$
.NET,C#,QA,Selenium;ABB RCS - Automated testing implementation and report generation - Sprint 2 - Part 1;copilot-f;2019-12-14;Code;2019-12-19;2019-12-22;Completed;2019-12-19;1.000,00 US$;80,33;91;24;1;1;1;1.500,00 US$
Data Science,Python;CFO Forecast Challenge -- Average Revenue Per User;copilot-h;2019-12-16;Code;2019-12-30;2020-01-03;Active;2019-12-30;3.000,00 US$;0;0;76;11;11;11;5.950,00 US$
AWS,Node.js,REST,TypeScript;Poseidon LPC Payment Backend API (Loyalty) Challenge;copilot-c;2019-12-13;Code;2019-12-17;2019-12-22;Completed;2019-12-19;1.200,00 US$;87,11;88;45;2;2;2;1.800,00 US$
JavaScript,ReactJS;Topcoder Community App: Devices page - UI ReDesign - Repost ;copilot-i;2019-12-19;Code;2019-12-22;2019-12-24;Cancelled - Zero Submissions;2019-12-22;400,00 US$;0;0;21;0;0;0;600,00 US$
QA;Topcoder - Test Case creation - Profile and Settings Pages;copilot-o;2019-12-14;Code;2019-12-16;2020-01-02;Completed;2019-12-18;600,00 US$;59,16;59,58;59;12;12;12;900,00 US$
AWS,Elasticsearch,Node.js,ReactJS;Topcoder - Integrate Community App with the V5 Challenge API;copilot-n;2019-12-12;Code;2019-12-16;2019-12-20;Cancelled - Failed Review;2019-12-17;800,00 US$;55,56;55,56;33;1;0;1;1.200,00 US$
Angular 4,Node.js,TypeScript;PexComm -  Final Integration and UX Library Update;copilot-c;2019-12-12;Code;2019-12-16;2019-12-19;Completed;2019-12-17;800,00 US$;89,39;94,94;36;3;3;3;1.200,00 US$
Java;72Hrs - Orientdb Spring Data Plugin - Add Depth Support for Query;Copilot-b;2019-12-12;Code;2019-12-15;2019-12-16;Completed;2019-12-15;600,00 US$;100;100;18;1;1;1;900,00 US$
Git,Github;24 hours!! - Topcoder Hour of Code PLUS - Fun challenge - Getting started with GitHub;copilot-f;2019-12-11;Code;2019-12-12;2019-12-14;Completed;2019-12-12;25,00 US$;92,17;92,17;68;46;46;46;125,00 US$
Node.js,QA,ReactJS;Thor - Technical Assessment Tool - Bug Bush - Fix Final Issues;copilot-c;2019-12-08;Code;2019-12-22;2020-01-05;Active;2019-12-22;2.000,00 US$;0;0;45;1;1;1;2.000,00 US$
Neo4J,QA;[96 hrs] Topcoder Groups API - Robust E2E tests;Copilot-g;2019-12-07;Code;2019-12-11;2019-12-12;Completed;2019-12-11;1.000,00 US$;84,67;90,33;23;2;2;2;1.500,00 US$
JavaScript;[96 hrs] Topcoder CLI - Robust Unit tests;Copilot-g;2019-12-07;Code;2019-12-11;2019-12-12;Completed;2019-12-11;800,00 US$;90,58;90,58;23;2;2;2;1.200,00 US$
.NET,C#,QA,Selenium;ABB RCS - Automated testing implementation and report generation - Sprint 3 -  Part 1;copilot-f;2019-12-07;Code;2019-12-18;2019-12-21;Completed;2019-12-18;1.400,00 US$;82,33;82,33;30;1;1;1;2.100,00 US$
.NET,C#,QA,Selenium;ABB RCS - Automated testing implementation and report generation - Sprint 2 - Part 2;copilot-f;2019-12-07;Code;2019-12-14;2019-12-17;Cancelled - Zero Submissions;2019-12-14;800,00 US$;0;0;28;0;0;0;1.200,00 US$
.NET,C#,QA,Selenium;ABB RCS - Automated testing implementation and report generation - Sprint 2 - Part 1;copilot-f;2019-12-07;Code;2019-12-14;2019-12-17;Cancelled - Zero Submissions;2019-12-14;800,00 US$;0;0;37;0;0;0;1.200,00 US$
Node.js;Informix2postgres Migration Series: Compare Database tables and Generate Report;;2019-12-06;Code;2019-12-10;2019-12-16;Completed;2019-12-12;400,00 US$;64,02;64,32;25;3;2;3;600,00 US$
QA;24 hours!! - Topcoder Hour of Code PLUS - Fun Challenge - Basic skills for QA track;copilot-p;2019-12-11;Code;2019-12-12;2019-12-14;Completed;2019-12-12;25,00 US$;93,03;93,03;52;33;33;33;250,00 US$
iOS;Poisedon - LPC payment iOS sdk part 1;copilot-a;2019-12-06;Code;2019-12-11;2019-12-14;Completed;2019-12-11;1.200,00 US$;86,8;87,22;20;3;3;3;1.800,00 US$
Apache Cordova,iOS;MyWellmark  iOS App Integrate Qualtrics;copilot-a;2019-12-05;Code;2019-12-14;2019-12-17;Completed;2019-12-14;1.600,00 US$;91,61;92,16;19;3;2;3;2.400,00 US$
Android,Apache Cordova;MyWellmark  Android App Integrate Qualtrics;copilot-a;2019-12-05;Code;2019-12-14;2019-12-18;Completed;2019-12-14;1.600,00 US$;85,75;87,91;29;4;3;4;2.400,00 US$
Android,Java;Poisedon - LPC payment Android sdk part 1;copilot-a;2019-12-06;Code;2019-12-11;2019-12-14;Completed;2019-12-11;1.200,00 US$;85,95;87,51;29;4;3;4;1.800,00 US$
Elasticsearch,MongoDB,Node.js;[48 hrs] Lookup API: Enhance Device Lookup and Fix Tests;copilot-i;2019-12-06;Code;2019-12-08;2019-12-10;Completed;2019-12-08;500,00 US$;92,69;92,84;20;3;3;3;750,00 US$
Angular 2+,Angular 4,Node.js,QA;Employer Portal increase Unit Testing coverage;copilot-n;2019-12-05;Code;2019-12-10;2019-12-14;Cancelled - Failed Review;2019-12-11;800,00 US$;68,33;68,33;30;1;0;1;1.200,00 US$
AWS,Docker,Elasticsearch,Node.js,Swagger;Fast 24h - Topcoder -  Improve V5 Challenge API;copilot-n;2019-12-05;Code;2019-12-06;2019-12-09;Completed;2019-12-07;600,00 US$;68,21;68,46;18;5;4;5;900,00 US$
Data Science,Python;Phase 2 Conflict World Prescribe Challenge;copilot-h;2019-12-06;Code;2019-12-30;2020-01-14;Active;2019-12-31;5.000,00 US$;0;0;50;9;9;9;10.000,00 US$
Data Science,Python;Phase 2 Urban World Prescribe Challenge;copilot-h;2019-12-06;Code;2019-12-30;2020-01-14;Active;2019-12-31;10.000,00 US$;0;0;70;11;11;11;20.000,00 US$
API,AWS,JavaScript,Node.js;Topbot - Client Teams Lambda implementation & Central TC Lambda enhancement;copilot-f;2019-12-05;Code;2019-12-10;2019-12-12;Completed;2019-12-10;800,00 US$;86,17;86,17;22;1;1;1;1.400,00 US$
CSS,HTML,JSON,JavaScript,Node.js,ReactJS;NextGen CLE Command Center UI Prototype - Part 1 Challenge;copilot-u;2019-12-05;Code;2019-12-08;2019-12-15;Cancelled - Client Request;2019-12-11;2.000,00 US$;0;0;21;0;0;0;3.000,00 US$
Data Science,Python;Phase 2 Power World Prescribe Challenge;Copilot-m;2019-12-06;Code;2019-12-31;2020-01-14;Active;2019-12-31;5.000,00 US$;0;0;53;7;7;7;10.000,00 US$
Data Science,Python;Phase 2 Disaster World Prescribe Challenge;Copilot-m;2019-12-06;Code;2019-12-31;2020-01-14;Active;2019-12-31;5.000,00 US$;0;0;57;9;9;9;10.000,00 US$
Angular 2+,Angular 4,Node.js;Underwriting Angular Upgrade;copilot-n;2019-12-04;Code;2019-12-09;2019-12-13;Completed;2019-12-09;1.500,00 US$;86,98;89,61;59;7;6;7;2.500,00 US$
Angular 2+,Angular 4,Node.js;Binder Portal Angular Upgrade;copilot-n;2019-12-04;Code;2019-12-09;2019-12-12;Completed;2019-12-09;1.500,00 US$;85,65;85,85;51;9;9;9;2.500,00 US$
Word/Rich Text;December Big Give - Thrive Twist;copilot-q;2019-12-03;Code;2019-12-31;2020-01-01;Completed;2019-12-31;0,00 US$;100;100;98;25;25;25;0,00 US$
0;Development forum with no discussions - Topgear;;2019-12-03;Code;2019-12-05;2019-12-11;Draft;2019-12-08;350,00 US$;0;0;0;0;0;0;500,00 US$
AWS,Docker,Node.js,TypeScript;Poisedon - LPC payment backend API;copilot-c;2019-12-03;Code;2019-12-07;2019-12-11;Completed;2019-12-08;1.200,00 US$;40,08;80,17;54;1;1;1;1.800,00 US$
Android,Java;Poseidon Android app launch background poc;copilot-a;2019-11-30;Code;2019-12-05;2019-12-08;Completed;2019-12-05;800,00 US$;92,99;95,04;46;4;4;4;1.200,00 US$
Swift,iOS;Poseidon iOS app launch background poc;copilot-a;2019-11-30;Code;2019-12-05;2019-12-08;Completed;2019-12-05;800,00 US$;91,66;93,22;21;3;3;3;1.200,00 US$
Docker,Node.js;DX Development Tooling - Code Update;Copilot-l;2019-11-30;Code;2019-12-05;2019-12-07;Completed;2019-12-05;1.000,00 US$;62,93;62,93;36;7;4;7;1.500,00 US$
Angular 2+,HTML,JavaScript,SCSS;[96hr] Benefits CRM prototype part 1;copilot-a;2019-11-30;Code;2019-12-04;2019-12-05;Completed;2019-12-04;1.400,00 US$;91,83;95,16;49;2;2;2;2.100,00 US$
.NET,C#,QA,Xamarin;ABB RCS Mobile - Xamarin Tablet App Prototype - Bug Bash;copilot-f;2019-11-29;Code;2019-12-07;2019-12-15;Completed;2019-12-07;350,00 US$;100;100;18;1;1;1;350,00 US$
Angular 2+,Node.js,TypeScript;PexComm - Angular Frontend Integration;copilot-c;2019-11-29;Code;2019-12-03;2019-12-07;Completed;2019-12-04;1.200,00 US$;80,36;82,36;67;5;3;5;1.800,00 US$
0;Add unit testing on the data scraper and the Sitemap API;copilot-n;2019-12-02;Code;2019-12-06;2019-12-09;Draft;2019-12-06;800,00 US$;0;0;0;0;0;0;1.200,00 US$
JavaScript,ReactJS;Topcoder Community App: Devices page - UI ReDesign - Repost ;copilot-i;2019-11-29;Code;2019-12-03;2019-12-05;Completed;2019-12-03;600,00 US$;93,33;93,33;29;1;1;1;900,00 US$
Node.js,TypeScript;[96h] Pexcomm - Backend Application - Reports;copilot-c;2019-11-27;Code;2019-12-01;2019-12-05;Completed;2019-12-02;800,00 US$;82,83;85,25;47;4;3;4;1.200,00 US$
Apache Kafka,Node.js;Topcoder-X - November 2019 Release Challenge;Copilot-m;2019-11-28;Code;2019-12-03;2019-12-06;Completed;2019-12-03;550,00 US$;94,22;94,22;23;1;1;1;825,00 US$
QA;Test for Success Challenge Series - QA Challenge 51 (Regression Testing);copilot-j;2019-12-02;Code;2019-12-04;2019-12-13;Completed;2019-12-04;242,50 US$;28,75;28,75;50;24;9;24;2.928,85 US$
QA;Test for Success Challenge Series - QA Challenge 50 (Bug Hunt);copilot-j;2019-11-28;Code;2019-11-30;2019-12-11;Completed;2019-11-30;750,00 US$;42,14;42,14;37;14;9;14;2.000,00 US$
JavaScript;[Fast 72 hrs] Topcoder CLI - Bug fixes and Enhancements;Copilot-g;2019-11-28;Code;2019-12-01;2019-12-04;Completed;2019-12-02;600,00 US$;87,46;91,79;35;4;4;4;900,00 US$
.NET,API;[Prize Increased] NextGen Imaging Mock Services;copilot-r;2019-11-27;Code;2019-11-30;2019-12-06;Cancelled - Zero Submissions;2019-12-02;800,00 US$;0;0;30;0;0;0;1.450,00 US$
Angular 2+,HTML5,JavaScript,SCSS;[36hr]CRM Angular Component Library Challenge;copilot-a;2019-11-27;Code;2019-11-29;2019-11-30;Completed;2019-11-29;800,00 US$;90,91;91,91;33;2;2;2;1.200,00 US$
Java,PostgreSQL;Topcoder - Informix2postgres migration series: Migrate Identity-Service;;2019-11-26;Code;2019-11-30;2019-12-07;Completed;2019-12-03;750,00 US$;89,34;90,54;40;4;4;4;1.150,00 US$
Data Science;Rodeo II Sprint: Sub-Seasonal Climate Forecasting - prec56 Task, period #5;copilot-s;2019-11-25;Code;2019-12-09;2020-02-04;Active;2019-12-09;500,00 US$;0;0;72;45;45;45;1.375,00 US$
Data Science;Rodeo II Sprint: Sub-Seasonal Climate Forecasting - temp56 Task, period #5;copilot-s;2019-11-25;Code;2019-12-09;2020-02-04;Active;2019-12-09;500,00 US$;0;0;64;43;43;43;1.375,00 US$
Data Science;Rodeo II Sprint: Sub-Seasonal Climate Forecasting - prec34 Task, period #5;copilot-s;2019-11-25;Code;2019-12-09;2020-01-21;Active;2019-12-09;500,00 US$;0;0;65;43;43;43;1.375,00 US$
Data Science;Rodeo II Sprint: Sub-Seasonal Climate Forecasting - temp34 Task, period #5;copilot-s;2019-11-25;Code;2019-12-09;2020-01-21;Active;2019-12-09;500,00 US$;0;0;65;43;43;43;1.375,00 US$
Node.js;JWT and POP JWT Security Analysis Challenge;Copilot-b;2019-11-25;Code;2019-11-27;2019-12-02;Completed;2019-11-30;600,00 US$;78,57;78,57;47;7;7;7;1.200,00 US$
Angular 4;Employer Portal Angular Upgrade;copilot-n;2019-11-25;Code;2019-11-30;2019-12-05;Completed;2019-12-02;1.500,00 US$;80,43;84,7;73;5;4;5;2.500,00 US$
Node.js;Topcoder v5 Challenge API | Nodejs based Wrapper - Part 3;copilot-d;2019-11-22;Code;2019-11-24;2019-11-27;Completed;2019-11-24;600,00 US$;87,68;87,99;24;9;7;9;900,00 US$
Apache Kafka,Node.js;Topcoder v5 Challenge Forum - Clean up initial processor proof of concept;Copilot-m;2019-11-22;Code;2019-11-28;2019-12-01;Completed;2019-11-28;550,00 US$;88,36;92,08;27;6;5;6;825,00 US$
